"y" "x1" "x2"
0 0.440703456408603 0
0 -0.636491240824581 0
0 0.646299359087447 0
0 -0.679762704547475 0
1 -1.43126417865106 0
1 1.07704225330444 0
1 0.800942895147986 0
0 0.514227979155613 0
1 0.665911289593592 1
1 -1.06813162265197 0
1 -1.24672075443978 0
1 1.27456264475089 1
1 0.0137089626288753 1
1 0.691963266575608 0
1 -0.35151804095218 0
0 0.0391345821895624 0
1 -0.441254069098199 1
1 0.937594108407297 0
1 0.527306533907428 0
1 0.287302533375603 0
0 -0.291318471000288 1
0 -0.383977053306498 0
0 -0.580388975100681 0
0 -0.98671951787105 0
0 -0.869513902891677 0
1 1.06534721893557 0
0 -1.52720177218533 1
0 -1.17030427326968 0
1 -0.00521612678025779 0
0 -0.501320645615816 0
1 1.61370317211746 0
1 0.585925548536586 0
1 0.877155877670217 0
0 0.740550882888247 0
1 1.18844692566927 1
0 -0.541826510898473 0
1 -0.263154208291401 0
0 -1.72633919607033 0
1 1.08106470140588 0
1 0.0596810689380025 0
0 0.177025655570726 0
1 0.528816676802423 0
1 0.12942123342892 1
0 0.337833531686849 0
0 0.927598731242965 1
1 1.75092578192514 0
0 -1.93889179268724 0
0 1.30142878220193 0
1 0.977826254988381 0
1 1.2597726324072 1
1 -2.25016317455937 0
0 0.184653639624868 0
0 -0.0121707561397122 0
1 -0.481769257934377 0
1 2.24799739875672 1
1 0.022002676069215 1
1 0.964066108110342 0
0 -0.079862760974743 1
1 1.85531622289639 1
0 -2.09260886382615 0
1 1.25703912588576 0
0 -0.634963394059368 0
1 1.98514771542782 0
1 1.39749443544786 1
1 1.81918820033456 0
0 -1.56216880212418 0
0 -0.0895956761826853 0
1 -0.823366452820044 0
0 -1.11748130331187 0
1 -0.334105219460537 1
1 0.992311178283627 0
0 2.16883914201783 0
1 0.114214700685225 1
0 -0.0919608280069621 0
1 0.292545728603664 0
0 -0.422088052335529 0
0 0.613919970753839 0
0 0.230427196338764 0
0 -0.276760224444268 0
0 -2.89352243855908 1
1 -1.10473324790947 0
0 -1.08095326977876 1
1 0.955682129049121 0
0 -0.591058183206654 0
1 -0.863269246009644 0
0 -0.0341563099336215 0
0 0.28060232423808 0
1 2.10265795299311 0
1 0.968821442558575 0
1 1.02866608760449 1
1 1.06438702163617 1
1 1.79524071516421 0
1 0.91192154659301 0
1 1.25190228622428 1
0 -0.845205211905122 0
1 0.459752812576341 0
1 0.275739454015096 0
0 -1.49684658406047 0
1 1.47071465872185 1
0 -1.11159945565453 0
